threshold,FAR,FRR,GAR
0.2331782632146709,0.0,0.8413793103448276,0.15862068965517243
0.214164689935615,0.0,0.896551724137931,0.10344827586206896
0.2121542940320233,0.0,0.9,0.1
0.211429023079355,0.0,0.903448275862069,0.09655172413793103
0.1467849753302562,0.0,0.993103448275862,0.006896551724137931
0.1675162529550827,0.0,0.9896551724137931,0.010344827586206896
0.1739032789339721,0.0,0.9862068965517241,0.013793103448275862
0.177111903455842,0.0,0.9827586206896551,0.017241379310344827
0.1773184759166067,0.0,0.9793103448275862,0.020689655172413793
0.1778354178510517,0.0,0.9758620689655172,0.02413793103448276
0.1803571428571428,0.0,0.9724137931034482,0.027586206896551724
0.2872659960882928,0.0,0.5827586206896552,0.41724137931034483
0.1886772708246128,0.0,0.9689655172413794,0.03103448275862069
0.1933504775900073,0.0,0.9655172413793104,0.034482758620689655
0.1946896145925272,0.0,0.9620689655172414,0.03793103448275862
0.1952264808362369,0.0,0.9586206896551724,0.041379310344827586
0.1952730941057789,0.0,0.9551724137931035,0.04482758620689655
0.1991409871829833,0.0,0.9517241379310345,0.04827586206896552
0.1996859834427633,0.0,0.9482758620689655,0.05172413793103448
0.2002786112301757,0.0,0.9448275862068966,0.05517241379310345
0.2016871165644171,0.0,0.9413793103448276,0.05862068965517241
0.2031317494600432,0.0,0.9379310344827586,0.06206896551724138
0.2045454545454545,0.0,0.9344827586206896,0.06551724137931035
0.2062970618632806,0.0,0.9310344827586207,0.06896551724137931
0.2071347997743937,0.0,0.9275862068965517,0.07241379310344828
0.2077793605571383,0.0,0.9241379310344827,0.07586206896551724
0.2078725463090959,0.0,0.9206896551724137,0.07931034482758621
0.209040959040959,0.0,0.9172413793103448,0.08275862068965517
0.2092160302253407,0.0,0.9137931034482759,0.08620689655172414
0.2097625329815303,0.0,0.9103448275862069,0.0896551724137931
0.2100610178893357,0.0,0.906896551724138,0.09310344827586207
0.2440257352941176,0.0,0.7965517241379311,0.20344827586206896
0.244472672342763,0.0,0.7931034482758621,0.20689655172413793
0.2205101327742837,0.0,0.8827586206896552,0.11724137931034483
0.2467419635099913,0.0,0.7862068965517242,0.21379310344827587
0.2748477195067598,0.0,0.6793103448275862,0.32068965517241377
0.2780081478248217,0.0,0.6758620689655173,0.32413793103448274
0.2787373661185699,0.0,0.6724137931034483,0.3275862068965517
0.278850060950833,0.0,0.6689655172413793,0.3310344827586207
0.2792189679218967,0.0,0.6655172413793103,0.33448275862068966
0.2793823990871488,0.0,0.6620689655172414,0.33793103448275863
0.2798746829777711,0.0,0.6586206896551724,0.3413793103448276
0.2801610440094405,0.0,0.6551724137931034,0.3448275862068966
0.2805977229601518,0.0,0.6517241379310345,0.3482758620689655
0.2808237861429351,0.0,0.6482758620689655,0.35172413793103446
0.2818840579710145,0.0,0.6448275862068965,0.35517241379310344
0.2819003285870756,0.0,0.6413793103448275,0.3586206896551724
0.282074780058651,0.0,0.6379310344827587,0.3620689655172414
0.2821737311767986,0.0,0.6344827586206897,0.36551724137931035
0.2828279164248404,0.0,0.6310344827586207,0.3689655172413793
0.2830250036132389,0.0,0.6275862068965518,0.3724137931034483
0.2841055341055341,0.0,0.6241379310344828,0.3758620689655172
0.2846744696415508,0.0,0.6206896551724138,0.3793103448275862
0.2848342939481268,0.0,0.6172413793103448,0.38275862068965516
0.2848956686689851,0.0,0.6137931034482759,0.38620689655172413
0.2851551174253406,0.0,0.6103448275862069,0.3896551724137931
0.2854066647839593,0.0,0.6068965517241379,0.3931034482758621
0.2856680569538329,0.0,0.603448275862069,0.39655172413793105
0.2451235854675402,0.0,0.7896551724137931,0.2103448275862069
0.2864103338872941,0.0,0.596551724137931,0.40344827586206894
0.2865706583427923,0.0,0.593103448275862,0.4068965517241379
0.2868509826928718,0.0,0.5896551724137931,0.4103448275862069
0.2730856709628506,0.0,0.6827586206896552,0.31724137931034485
0.271518544436669,0.0,0.6862068965517242,0.3137931034482759
0.2861377964575202,0.0,0.6,0.4
0.27097875569044,0.0,0.6931034482758621,0.30689655172413793
0.2499645339764505,0.0,0.7827586206896552,0.21724137931034482
0.2516252528171049,0.0,0.7793103448275862,0.2206896551724138
0.2552026712222395,0.0,0.7758620689655172,0.22413793103448276
0.2558669243511872,0.0,0.7724137931034483,0.22758620689655173
0.2559049413128532,0.0,0.7689655172413793,0.23103448275862068
0.2562362938596491,0.0,0.7655172413793103,0.23448275862068965
0.2571121647651504,0.0,0.7620689655172413,0.23793103448275862
0.2572720422004521,0.0,0.7551724137931034,0.24482758620689654
0.2577789699570815,0.0,0.7517241379310344,0.2482758620689655
0.2580608878224355,0.0,0.7482758620689656,0.2517241379310345
0.2602306547619047,0.0,0.7448275862068966,0.25517241379310346
0.260856348792774,0.0,0.7413793103448276,0.25862068965517243
0.2610371692906996,0.0,0.7379310344827587,0.2620689655172414
0.2571965399886557,0.0,0.7586206896551724,0.2413793103448276
0.2616168973051712,0.0,0.7310344827586207,0.2689655172413793
0.2611353711790393,0.0,0.7344827586206897,0.2655172413793103
0.2696853475266124,0.0,0.7,0.3
0.2690362461365552,0.0,0.7034482758620689,0.296551724137931
0.2669572223849985,0.0,0.7068965517241379,0.29310344827586204
0.2655690765926986,0.0,0.7103448275862069,0.2896551724137931
0.2708453133985048,0.0,0.696551724137931,0.30344827586206896
0.271259842519685,0.0,0.6896551724137931,0.3103448275862069
